Name,Address,Latitude,Longitude,Date,Photo_URL,Icon_URL
Naples,"Università degli Studi di Napoli Federico II, Naples, Italy",40.8464243,14.256885,1/29/2007,http://geostat-course.org/system/files/images/GEOSTAT2007group%5B1%5D.preview.JPG,http://geostat-course.org/system/files/images/GEOSTAT2007group%5B1%5D.thumbnail.JPG
Quebec city,"Faculty of Forestry, Geomatics and Geography, Pavillon Gene-H.-Kruger, 2425 Rue de la Terrasse, Université Laval GHK-2320-2330 (Kruger Room), Quebec City, QC G1V 0A6",46.7790474,-71.2733835,5/26/2013,http://geostat-course.org/system/files/images/GEOSTAT_Quebec_City_group_photo.preview.JPG,http://geostat-course.org/system/files/images/GEOSTAT_Quebec_City_group_photo.thumbnail.JPG
Amsterdam,"UvA, 1012 WX Amsterdam, Netherlands",52.3681848,4.893617,8/25/2008,http://geostat-course.org/system/files/images/GEOSTAT2008group_s%5B1%5D_0.preview.JPG,http://geostat-course.org/system/files/images/GEOSTAT2008group_s%5B1%5D_0.thumbnail.JPG
Split,"MEDILS Institute, Split, Croatia",43.5081323,16.4401935,5/12/2009,http://geostat-course.org/system/files/images/Split_003.preview.JPG,http://geostat-course.org/system/files/images/Split_003.thumbnail.JPG
Canberra,"Spark-Helmore Theatre, The Australian National University, Canberra, Australia",-35.2776999,149.118527,4/11/2011,http://geostat-course.org/system/files/images/geostat_2011_canberra.preview.JPG,http://geostat-course.org/system/files/images/geostat_2011_canberra.thumbnail.JPG
Muenster,"Weseler Str. 253, Münster, Germany",51.94127,7.61053,9/3/2012,http://geostat-course.org/system/files/images/DSC01277.preview.JPG,http://geostat-course.org/system/files/images/DSC01277.thumbnail.JPG
Landau,"Fortstrasse 7, D-76829 Landau, Germany",49.204182,8.107545,7/26/2011,http://geostat-course.org/system/files/images/IMG_1320.preview.JPG,http://geostat-course.org/system/files/images/IMG_1320.thumbnail.JPG
Belgrade,"Faculty of Civil Engineering, University of Belgrade, Belgrade, Serbia",44.8057214,20.4760598,9/18/2011,http://geostat-course.org/system/files/images/Belgrade%202011c.preview.JPG,http://geostat-course.org/system/files/images/Belgrade%202011c.thumbnail.JPG
Bergen,"Norwegian School of Economics, Bergen, Norway",60.4229376,5.3024087,6/16/2014,http://geostat-course.org/system/files/images/GEOSTAT_Bergen1.preview.JPG,http://geostat-course.org/system/files/images/GEOSTAT_Bergen1.thumbnail.JPG
Plasencia,"Avda de la virgen del Puerto 2 10600 Plasencia, Spain",40.03478,-6.08448,6/28/2010,http://geostat-course.org/system/files/images/geostat2010_participants.preview.jpg,http://geostat-course.org/system/files/images/geostat2010_participants.thumbnail.jpg